Date,Nation,Metric,Admissions
25/04/2020,England,NewAdmissions,1080
25/04/2020,Scotland,NewAdmissions,42
25/04/2020,Wales,NewAdmissions,112
25/04/2020,Northern Ireland,NewAdmissions,12
26/04/2020,Northern Ireland,NewAdmissions,8
26/04/2020,Wales,NewAdmissions,97
26/04/2020,Scotland,NewAdmissions,39
26/04/2020,England,NewAdmissions,1208
27/04/2020,England,NewAdmissions,1344
27/04/2020,Scotland,NewAdmissions,74
27/04/2020,Northern Ireland,NewAdmissions,18
27/04/2020,Wales,NewAdmissions,95
28/04/2020,Wales,NewAdmissions,139
28/04/2020,Northern Ireland,NewAdmissions,8
28/04/2020,Scotland,NewAdmissions,72
28/04/2020,England,NewAdmissions,1296
29/04/2020,Scotland,NewAdmissions,49
29/04/2020,England,NewAdmissions,1295
29/04/2020,Wales,NewAdmissions,127
29/04/2020,Northern Ireland,NewAdmissions,13
30/04/2020,Northern Ireland,NewAdmissions,19
30/04/2020,Wales,NewAdmissions,132
30/04/2020,Scotland,NewAdmissions,56
30/04/2020,England,NewAdmissions,1227
01/05/2020,Scotland,NewAdmissions,55
01/05/2020,England,NewAdmissions,1081
01/05/2020,Northern Ireland,NewAdmissions,15
01/05/2020,Wales,NewAdmissions,107
02/05/2020,Northern Ireland,NewAdmissions,6
02/05/2020,Wales,NewAdmissions,142
02/05/2020,Scotland,NewAdmissions,46
02/05/2020,England,NewAdmissions,980
03/05/2020,England,NewAdmissions,1044
03/05/2020,Scotland,NewAdmissions,40
03/05/2020,Northern Ireland,NewAdmissions,7
03/05/2020,Wales,NewAdmissions,94
04/05/2020,Wales,NewAdmissions,121
04/05/2020,Northern Ireland,NewAdmissions,6
04/05/2020,England,NewAdmissions,1063
04/05/2020,Scotland,NewAdmissions,52
05/05/2020,Scotland,NewAdmissions,40
05/05/2020,England,NewAdmissions,959
05/05/2020,Northern Ireland,NewAdmissions,7
05/05/2020,Wales,NewAdmissions,136
06/05/2020,Wales,NewAdmissions,103
06/05/2020,Northern Ireland,NewAdmissions,7
06/05/2020,England,NewAdmissions,1040
06/05/2020,Scotland,NewAdmissions,44
07/05/2020,Scotland,NewAdmissions,37
07/05/2020,England,NewAdmissions,998
07/05/2020,Northern Ireland,NewAdmissions,7
07/05/2020,Wales,NewAdmissions,119
08/05/2020,Wales,NewAdmissions,127
08/05/2020,Northern Ireland,NewAdmissions,4
08/05/2020,England,NewAdmissions,743
08/05/2020,Scotland,NewAdmissions,32
09/05/2020,Scotland,NewAdmissions,21
09/05/2020,England,NewAdmissions,798
09/05/2020,Wales,NewAdmissions,106
09/05/2020,Northern Ireland,NewAdmissions,8
10/05/2020,Northern Ireland,NewAdmissions,10
10/05/2020,Wales,NewAdmissions,114
10/05/2020,Scotland,NewAdmissions,27
10/05/2020,England,NewAdmissions,756
11/05/2020,England,NewAdmissions,866
11/05/2020,Scotland,NewAdmissions,33
11/05/2020,Wales,NewAdmissions,108
11/05/2020,Northern Ireland,NewAdmissions,15
12/05/2020,Wales,NewAdmissions,92
12/05/2020,Northern Ireland,NewAdmissions,6
12/05/2020,Scotland,NewAdmissions,37
12/05/2020,England,NewAdmissions,844
13/05/2020,England,NewAdmissions,804
13/05/2020,Scotland,NewAdmissions,27
13/05/2020,Northern Ireland,NewAdmissions,13
13/05/2020,Wales,NewAdmissions,119
14/05/2020,Northern Ireland,NewAdmissions,8
14/05/2020,Wales,NewAdmissions,105
14/05/2020,England,NewAdmissions,763
14/05/2020,Scotland,NewAdmissions,27
15/05/2020,Scotland,NewAdmissions,31
15/05/2020,England,NewAdmissions,738
15/05/2020,Wales,NewAdmissions,88
15/05/2020,Northern Ireland,NewAdmissions,6
16/05/2020,Northern Ireland,NewAdmissions,3
16/05/2020,Wales,NewAdmissions,117
16/05/2020,England,NewAdmissions,671
16/05/2020,Scotland,NewAdmissions,18
17/05/2020,Scotland,NewAdmissions,9
17/05/2020,England,NewAdmissions,673
17/05/2020,Northern Ireland,NewAdmissions,7
17/05/2020,Wales,NewAdmissions,98
18/05/2020,Northern Ireland,NewAdmissions,3
18/05/2020,Wales,NewAdmissions,77
18/05/2020,England,NewAdmissions,733
18/05/2020,Scotland,NewAdmissions,27
19/05/2020,England,NewAdmissions,752
19/05/2020,Scotland,NewAdmissions,13
19/05/2020,Wales,NewAdmissions,105
19/05/2020,Northern Ireland,NewAdmissions,5
20/05/2020,Wales,NewAdmissions,95
20/05/2020,Northern Ireland,NewAdmissions,3
20/05/2020,England,NewAdmissions,732
20/05/2020,Scotland,NewAdmissions,18
21/05/2020,England,NewAdmissions,715
21/05/2020,Scotland,NewAdmissions,13
21/05/2020,Wales,NewAdmissions,105
21/05/2020,Northern Ireland,NewAdmissions,2
22/05/2020,Wales,NewAdmissions,81
22/05/2020,Northern Ireland,NewAdmissions,1
22/05/2020,England,NewAdmissions,638
22/05/2020,Scotland,NewAdmissions,16
23/05/2020,England,NewAdmissions,504
23/05/2020,Scotland,NewAdmissions,14
23/05/2020,Northern Ireland,NewAdmissions,3
23/05/2020,Wales,NewAdmissions,121
24/05/2020,Northern Ireland,NewAdmissions,1
24/05/2020,Wales,NewAdmissions,78
24/05/2020,Scotland,NewAdmissions,8
24/05/2020,England,NewAdmissions,497
25/05/2020,Scotland,NewAdmissions,13
25/05/2020,England,NewAdmissions,498
25/05/2020,Northern Ireland,NewAdmissions,7
25/05/2020,Wales,NewAdmissions,82
26/05/2020,Wales,NewAdmissions,96
26/05/2020,Northern Ireland,NewAdmissions,7
26/05/2020,Scotland,NewAdmissions,14
26/05/2020,England,NewAdmissions,578
27/05/2020,Scotland,NewAdmissions,11
27/05/2020,England,NewAdmissions,589
27/05/2020,Northern Ireland,NewAdmissions,1
27/05/2020,Wales,NewAdmissions,106
28/05/2020,Northern Ireland,NewAdmissions,3
28/05/2020,Wales,NewAdmissions,120
28/05/2020,Scotland,NewAdmissions,6
28/05/2020,England,NewAdmissions,570
29/05/2020,England,NewAdmissions,499
29/05/2020,Scotland,NewAdmissions,10
29/05/2020,Wales,NewAdmissions,99
29/05/2020,Northern Ireland,NewAdmissions,3
30/05/2020,Wales,NewAdmissions,93
30/05/2020,Northern Ireland,NewAdmissions,2
30/05/2020,England,NewAdmissions,466
30/05/2020,Scotland,NewAdmissions,4
31/05/2020,England,NewAdmissions,446
31/05/2020,Scotland,NewAdmissions,10
31/05/2020,Wales,NewAdmissions,68
31/05/2020,Northern Ireland,NewAdmissions,3
01/06/2020,Wales,NewAdmissions,73
01/06/2020,Northern Ireland,NewAdmissions,3
01/06/2020,Scotland,NewAdmissions,7
01/06/2020,England,NewAdmissions,522
02/06/2020,Scotland,NewAdmissions,5
02/06/2020,England,NewAdmissions,553
02/06/2020,Northern Ireland,NewAdmissions,3
02/06/2020,Wales,NewAdmissions,106
03/06/2020,Northern Ireland,NewAdmissions,4
03/06/2020,Wales,NewAdmissions,131
03/06/2020,England,NewAdmissions,491
03/06/2020,Scotland,NewAdmissions,7
04/06/2020,England,NewAdmissions,458
04/06/2020,Scotland,NewAdmissions,6
04/06/2020,Wales,NewAdmissions,97
04/06/2020,Northern Ireland,NewAdmissions,2
05/06/2020,Wales,NewAdmissions,82
05/06/2020,Northern Ireland,NewAdmissions,2
05/06/2020,England,NewAdmissions,380
