Date,Nation,Metric,Deaths
25/02/2020,England,CumDeathsByDate,1
25/02/2020,Northern Ireland,CumDeathsByDate,
26/02/2020,Northern Ireland,CumDeathsByDate,
26/02/2020,Scotland,CumDeathsByDate,
26/02/2020,Wales,CumDeathsByDate,
26/02/2020,England,CumDeathsByDate,1
27/02/2020,Wales,CumDeathsByDate,
27/02/2020,England,CumDeathsByDate,1
27/02/2020,Northern Ireland,CumDeathsByDate,
27/02/2020,Scotland,CumDeathsByDate,
28/02/2020,Scotland,CumDeathsByDate,
28/02/2020,England,CumDeathsByDate,1
28/02/2020,Wales,CumDeathsByDate,
28/02/2020,Northern Ireland,CumDeathsByDate,
29/02/2020,Northern Ireland,CumDeathsByDate,
29/02/2020,Scotland,CumDeathsByDate,
29/02/2020,England,CumDeathsByDate,1
29/02/2020,Wales,CumDeathsByDate,
01/03/2020,England,CumDeathsByDate,1
01/03/2020,Wales,CumDeathsByDate,
01/03/2020,Northern Ireland,CumDeathsByDate,
01/03/2020,Scotland,CumDeathsByDate,
02/03/2020,Scotland,CumDeathsByDate,
02/03/2020,England,CumDeathsByDate,1
02/03/2020,Wales,CumDeathsByDate,
02/03/2020,Northern Ireland,CumDeathsByDate,
03/03/2020,Northern Ireland,CumDeathsByDate,
03/03/2020,Scotland,CumDeathsByDate,
03/03/2020,Wales,CumDeathsByDate,
03/03/2020,England,CumDeathsByDate,3
04/03/2020,England,CumDeathsByDate,3
04/03/2020,Wales,CumDeathsByDate,
04/03/2020,Northern Ireland,CumDeathsByDate,
04/03/2020,Scotland,CumDeathsByDate,
05/03/2020,Scotland,CumDeathsByDate,
05/03/2020,England,CumDeathsByDate,6
05/03/2020,Wales,CumDeathsByDate,
05/03/2020,Northern Ireland,CumDeathsByDate,
06/03/2020,Northern Ireland,CumDeathsByDate,
06/03/2020,Scotland,CumDeathsByDate,
06/03/2020,Wales,CumDeathsByDate,
06/03/2020,England,CumDeathsByDate,6
07/03/2020,Wales,CumDeathsByDate,
07/03/2020,England,CumDeathsByDate,6
07/03/2020,Northern Ireland,CumDeathsByDate,
07/03/2020,Scotland,CumDeathsByDate,
08/03/2020,Scotland,CumDeathsByDate,
08/03/2020,England,CumDeathsByDate,9
08/03/2020,Wales,CumDeathsByDate,
08/03/2020,Northern Ireland,CumDeathsByDate,
09/03/2020,Northern Ireland,CumDeathsByDate,
09/03/2020,Scotland,CumDeathsByDate,
09/03/2020,Wales,CumDeathsByDate,
09/03/2020,England,CumDeathsByDate,14
10/03/2020,Wales,CumDeathsByDate,
10/03/2020,England,CumDeathsByDate,17
10/03/2020,Northern Ireland,CumDeathsByDate,
10/03/2020,Scotland,CumDeathsByDate,
11/03/2020,Scotland,CumDeathsByDate,
11/03/2020,Wales,CumDeathsByDate,
11/03/2020,England,CumDeathsByDate,25
11/03/2020,Northern Ireland,CumDeathsByDate,
12/03/2020,Northern Ireland,CumDeathsByDate,
12/03/2020,Scotland,CumDeathsByDate,
12/03/2020,England,CumDeathsByDate,37
12/03/2020,Wales,CumDeathsByDate,
13/03/2020,England,CumDeathsByDate,53
13/03/2020,Wales,CumDeathsByDate,
13/03/2020,Northern Ireland,CumDeathsByDate,
13/03/2020,Scotland,CumDeathsByDate,
14/03/2020,Scotland,CumDeathsByDate,
14/03/2020,Wales,CumDeathsByDate,
14/03/2020,England,CumDeathsByDate,73
14/03/2020,Northern Ireland,CumDeathsByDate,
15/03/2020,Northern Ireland,CumDeathsByDate,
15/03/2020,Scotland,CumDeathsByDate,
15/03/2020,England,CumDeathsByDate,105
15/03/2020,Wales,CumDeathsByDate,
16/03/2020,England,CumDeathsByDate,148
16/03/2020,Wales,CumDeathsByDate,3
16/03/2020,Northern Ireland,CumDeathsByDate,
16/03/2020,Scotland,CumDeathsByDate,
17/03/2020,Scotland,CumDeathsByDate,
17/03/2020,Wales,CumDeathsByDate,3
17/03/2020,England,CumDeathsByDate,198
17/03/2020,Northern Ireland,CumDeathsByDate,
18/03/2020,Northern Ireland,CumDeathsByDate,
18/03/2020,Scotland,CumDeathsByDate,
18/03/2020,Wales,CumDeathsByDate,3
18/03/2020,England,CumDeathsByDate,265
19/03/2020,Wales,CumDeathsByDate,6
19/03/2020,England,CumDeathsByDate,332
19/03/2020,Northern Ireland,CumDeathsByDate,
19/03/2020,Scotland,CumDeathsByDate,
20/03/2020,Scotland,CumDeathsByDate,
20/03/2020,Wales,CumDeathsByDate,8
20/03/2020,England,CumDeathsByDate,434
20/03/2020,Northern Ireland,CumDeathsByDate,
21/03/2020,Northern Ireland,CumDeathsByDate,
21/03/2020,Scotland,CumDeathsByDate,
21/03/2020,Wales,CumDeathsByDate,15
21/03/2020,England,CumDeathsByDate,551
22/03/2020,Wales,CumDeathsByDate,20
22/03/2020,England,CumDeathsByDate,704
22/03/2020,Northern Ireland,CumDeathsByDate,
22/03/2020,Scotland,CumDeathsByDate,
23/03/2020,Scotland,CumDeathsByDate,
23/03/2020,England,CumDeathsByDate,877
23/03/2020,Wales,CumDeathsByDate,24
23/03/2020,Northern Ireland,CumDeathsByDate,
24/03/2020,Northern Ireland,CumDeathsByDate,
24/03/2020,Scotland,CumDeathsByDate,
24/03/2020,Wales,CumDeathsByDate,33
24/03/2020,England,CumDeathsByDate,1096
25/03/2020,England,CumDeathsByDate,1374
25/03/2020,Wales,CumDeathsByDate,43
25/03/2020,Northern Ireland,CumDeathsByDate,
25/03/2020,Scotland,CumDeathsByDate,
26/03/2020,Scotland,CumDeathsByDate,
26/03/2020,England,CumDeathsByDate,1711
26/03/2020,Wales,CumDeathsByDate,54
26/03/2020,Northern Ireland,CumDeathsByDate,
27/03/2020,Northern Ireland,CumDeathsByDate,
27/03/2020,Scotland,CumDeathsByDate,
27/03/2020,Wales,CumDeathsByDate,64
27/03/2020,England,CumDeathsByDate,2085
28/03/2020,England,CumDeathsByDate,2469
28/03/2020,Wales,CumDeathsByDate,79
28/03/2020,Northern Ireland,CumDeathsByDate,
28/03/2020,Scotland,CumDeathsByDate,
29/03/2020,Scotland,CumDeathsByDate,
29/03/2020,Wales,CumDeathsByDate,97
29/03/2020,England,CumDeathsByDate,2934
29/03/2020,Northern Ireland,CumDeathsByDate,
30/03/2020,Northern Ireland,CumDeathsByDate,
30/03/2020,Scotland,CumDeathsByDate,
30/03/2020,Wales,CumDeathsByDate,113
30/03/2020,England,CumDeathsByDate,3476
31/03/2020,England,CumDeathsByDate,4078
