Date,Nation,Metric,Cases
08/06/2020,Northern Ireland,CasesByDate,6
08/06/2020,Wales,CasesByDate,42
08/06/2020,England,CasesByDate,92
09/06/2020,England,CasesByDate,651
09/06/2020,Scotland,CasesByDate,14
09/06/2020,Northern Ireland,CasesByDate,3
09/06/2020,Wales,CasesByDate,42
10/06/2020,Wales,CasesByDate,38
10/06/2020,England,CasesByDate,63
10/06/2020,Northern Ireland,CasesByDate,13
10/06/2020,Scotland,CasesByDate,12
11/06/2020,Northern Ireland,CasesByDate,4
11/06/2020,Scotland,CasesByDate,17
11/06/2020,Wales,CasesByDate,63
11/06/2020,England,CasesByDate,304
12/06/2020,England,CasesByDate,392
12/06/2020,Scotland,CasesByDate,27
12/06/2020,Northern Ireland,CasesByDate,16
12/06/2020,Wales,CasesByDate,77
13/06/2020,Wales,CasesByDate,45
13/06/2020,England,CasesByDate,372
13/06/2020,Northern Ireland,CasesByDate,3
13/06/2020,Scotland,CasesByDate,21
14/06/2020,Scotland,CasesByDate,25
14/06/2020,Northern Ireland,CasesByDate,7
14/06/2020,Wales,CasesByDate,39
14/06/2020,England,CasesByDate,292
15/06/2020,England,CasesByDate,219
15/06/2020,Northern Ireland,CasesByDate,4
15/06/2020,Scotland,CasesByDate,29
15/06/2020,Wales,CasesByDate,62
16/06/2020,Wales,CasesByDate,65
16/06/2020,England,CasesByDate,252
16/06/2020,Scotland,CasesByDate,15
16/06/2020,Northern Ireland,CasesByDate,2
17/06/2020,Northern Ireland,CasesByDate,8
17/06/2020,Scotland,CasesByDate,21
17/06/2020,Wales,CasesByDate,53
17/06/2020,England,CasesByDate,252
18/06/2020,England,CasesByDate,281
18/06/2020,Northern Ireland,CasesByDate,1
18/06/2020,Scotland,CasesByDate,11
18/06/2020,Wales,CasesByDate,48
19/06/2020,Wales,CasesByDate,31
19/06/2020,England,CasesByDate,323
19/06/2020,Scotland,CasesByDate,27
19/06/2020,Northern Ireland,CasesByDate,3
20/06/2020,Scotland,CasesByDate,26
20/06/2020,Northern Ireland,CasesByDate,0
20/06/2020,Wales,CasesByDate,25
20/06/2020,England,CasesByDate,324
21/06/2020,England,CasesByDate,215
21/06/2020,Scotland,CasesByDate,26
21/06/2020,Northern Ireland,CasesByDate,4
21/06/2020,Wales,CasesByDate,100
22/06/2020,Wales,CasesByDate,71
22/06/2020,England,CasesByDate,178
22/06/2020,Scotland,CasesByDate,14
22/06/2020,Northern Ireland,CasesByDate,1
23/06/2020,Northern Ireland,CasesByDate,0
23/06/2020,Scotland,CasesByDate,12
23/06/2020,Wales,CasesByDate,51
23/06/2020,England,CasesByDate,210
24/06/2020,England,CasesByDate,107
24/06/2020,Scotland,CasesByDate,9
24/06/2020,Northern Ireland,CasesByDate,2
24/06/2020,Wales,CasesByDate,47
25/06/2020,Wales,CasesByDate,125
25/06/2020,England,CasesByDate,261
25/06/2020,Scotland,CasesByDate,5
25/06/2020,Northern Ireland,CasesByDate,1
26/06/2020,Northern Ireland,CasesByDate,4
26/06/2020,Scotland,CasesByDate,17
26/06/2020,Wales,CasesByDate,65
26/06/2020,England,CasesByDate,175
27/06/2020,England,CasesByDate,192
27/06/2020,Scotland,CasesByDate,15
27/06/2020,Northern Ireland,CasesByDate,2
27/06/2020,Wales,CasesByDate,46
28/06/2020,Wales,CasesByDate,25
28/06/2020,England,CasesByDate,142
28/06/2020,Scotland,CasesByDate,8
28/06/2020,Northern Ireland,CasesByDate,1
29/06/2020,Northern Ireland,CasesByDate,6
29/06/2020,Scotland,CasesByDate,5
29/06/2020,Wales,CasesByDate,116
29/06/2020,England,CasesByDate,99
30/06/2020,England,CasesByDate,196
30/06/2020,Northern Ireland,CasesByDate,3
30/06/2020,Scotland,CasesByDate,10
30/06/2020,Wales,CasesByDate,26
01/07/2020,Wales,CasesByDate,32
01/07/2020,England,CasesByDate,177
01/07/2020,Northern Ireland,CasesByDate,1
01/07/2020,Scotland,CasesByDate,8
02/07/2020,Scotland,CasesByDate,5
02/07/2020,Northern Ireland,CasesByDate,7
02/07/2020,Wales,CasesByDate,41
02/07/2020,England,CasesByDate,523
03/07/2020,England,CasesByDate,502
03/07/2020,Scotland,CasesByDate,12
03/07/2020,Northern Ireland,CasesByDate,4
03/07/2020,Wales,CasesByDate,26
04/07/2020,Wales,CasesByDate,34
04/07/2020,England,CasesByDate,579
04/07/2020,Scotland,CasesByDate,11
04/07/2020,Northern Ireland,CasesByDate,0
05/07/2020,Northern Ireland,CasesByDate,0
05/07/2020,Scotland,CasesByDate,9
05/07/2020,Wales,CasesByDate,15
05/07/2020,England,CasesByDate,492
06/07/2020,England,CasesByDate,331
06/07/2020,Scotland,CasesByDate,4
06/07/2020,Northern Ireland,CasesByDate,0
06/07/2020,Wales,CasesByDate,8
07/07/2020,Wales,CasesByDate,2
07/07/2020,England,CasesByDate,572
07/07/2020,Northern Ireland,CasesByDate,5
07/07/2020,Scotland,CasesByDate,2
08/07/2020,Northern Ireland,CasesByDate,4
08/07/2020,Scotland,CasesByDate,7
08/07/2020,Wales,CasesByDate,13
08/07/2020,England,CasesByDate,606
09/07/2020,England,CasesByDate,617
09/07/2020,Scotland,CasesByDate,6
09/07/2020,Northern Ireland,CasesByDate,3
09/07/2020,Wales,CasesByDate,16
10/07/2020,Wales,CasesByDate,10
10/07/2020,England,CasesByDate,480
10/07/2020,Northern Ireland,CasesByDate,4
10/07/2020,Scotland,CasesByDate,18
11/07/2020,Scotland,CasesByDate,7
11/07/2020,Northern Ireland,CasesByDate,0
11/07/2020,Wales,CasesByDate,7
11/07/2020,England,CasesByDate,806
12/07/2020,England,CasesByDate,615
12/07/2020,Scotland,CasesByDate,19
12/07/2020,Northern Ireland,CasesByDate,0
12/07/2020,Wales,CasesByDate,16
13/07/2020,Wales,CasesByDate,11
13/07/2020,England,CasesByDate,497
13/07/2020,Northern Ireland,CasesByDate,0
13/07/2020,Scotland,CasesByDate,6
14/07/2020,Scotland,CasesByDate,3
14/07/2020,Northern Ireland,CasesByDate,2
14/07/2020,Wales,CasesByDate,21
14/07/2020,England,CasesByDate,372
15/07/2020,England,CasesByDate,506
15/07/2020,Northern Ireland,CasesByDate,9
15/07/2020,Scotland,CasesByDate,5
15/07/2020,Wales,CasesByDate,18
16/07/2020,Wales,CasesByDate,18
16/07/2020,England,CasesByDate,597
16/07/2020,Scotland,CasesByDate,11
16/07/2020,Northern Ireland,CasesByDate,16
17/07/2020,Northern Ireland,CasesByDate,19
17/07/2020,Scotland,CasesByDate,17
17/07/2020,Wales,CasesByDate,16
17/07/2020,England,CasesByDate,635
18/07/2020,England,CasesByDate,796
18/07/2020,Scotland,CasesByDate,21
18/07/2020,Northern Ireland,CasesByDate,0
18/07/2020,Wales,CasesByDate,10
19/07/2020,Wales,CasesByDate,31
19/07/2020,England,CasesByDate,672
19/07/2020,Northern Ireland,CasesByDate,0
19/07/2020,Scotland,CasesByDate,23
20/07/2020,Scotland,CasesByDate,7
20/07/2020,Northern Ireland,CasesByDate,0
20/07/2020,Wales,CasesByDate,15
20/07/2020,England,CasesByDate,535
21/07/2020,England,CasesByDate,399
21/07/2020,Scotland,CasesByDate,22
21/07/2020,Northern Ireland,CasesByDate,2
21/07/2020,Wales,CasesByDate,22
22/07/2020,Wales,CasesByDate,22
22/07/2020,England,CasesByDate,519
22/07/2020,Northern Ireland,CasesByDate,9
22/07/2020,Scotland,CasesByDate,10
23/07/2020,Northern Ireland,CasesByDate,8
23/07/2020,Scotland,CasesByDate,16
23/07/2020,Wales,CasesByDate,43
23/07/2020,England,CasesByDate,702
24/07/2020,England,CasesByDate,688
24/07/2020,Scotland,CasesByDate,20
24/07/2020,Northern Ireland,CasesByDate,15
24/07/2020,Wales,CasesByDate,45
25/07/2020,Wales,CasesByDate,30
25/07/2020,England,CasesByDate,710
25/07/2020,Northern Ireland,CasesByDate,0
25/07/2020,Scotland,CasesByDate,27
26/07/2020,Northern Ireland,CasesByDate,0
26/07/2020,Scotland,CasesByDate,4
26/07/2020,Wales,CasesByDate,22
26/07/2020,England,CasesByDate,721
27/07/2020,England,CasesByDate,616
27/07/2020,Scotland,CasesByDate,3
27/07/2020,Northern Ireland,CasesByDate,0
27/07/2020,Wales,CasesByDate,45
28/07/2020,Wales,CasesByDate,21
28/07/2020,England,CasesByDate,547
28/07/2020,Northern Ireland,CasesByDate,9
28/07/2020,Scotland,CasesByDate,4
29/07/2020,Scotland,CasesByDate,22
29/07/2020,Northern Ireland,CasesByDate,9
29/07/2020,Wales,CasesByDate,32
29/07/2020,England,CasesByDate,700
30/07/2020,England,CasesByDate,812
30/07/2020,Scotland,CasesByDate,17
30/07/2020,Northern Ireland,CasesByDate,8
30/07/2020,Wales,CasesByDate,9
31/07/2020,Wales,CasesByDate,26
31/07/2020,England,CasesByDate,814
31/07/2020,Scotland,CasesByDate,30
31/07/2020,Northern Ireland,CasesByDate,10
01/08/2020,Scotland,CasesByDate,18
01/08/2020,Northern Ireland,CasesByDate,0
01/08/2020,Wales,CasesByDate,21
01/08/2020,England,CasesByDate,722
02/08/2020,England,CasesByDate,676
02/08/2020,Scotland,CasesByDate,31
02/08/2020,Northern Ireland,CasesByDate,0
02/08/2020,Wales,CasesByDate,37
03/08/2020,Wales,CasesByDate,24
03/08/2020,England,CasesByDate,856
03/08/2020,Northern Ireland,CasesByDate,0
03/08/2020,Scotland,CasesByDate,18
04/08/2020,Northern Ireland,CasesByDate,8
04/08/2020,Scotland,CasesByDate,23
04/08/2020,Wales,CasesByDate,22
04/08/2020,England,CasesByDate,617
05/08/2020,England,CasesByDate,804
05/08/2020,Scotland,CasesByDate,64
05/08/2020,Northern Ireland,CasesByDate,10
05/08/2020,Wales,CasesByDate,14
06/08/2020,Wales,CasesByDate,15
06/08/2020,England,CasesByDate,826
06/08/2020,Scotland,CasesByDate,66
06/08/2020,Northern Ireland,CasesByDate,43
07/08/2020,Northern Ireland,CasesByDate,15
07/08/2020,Scotland,CasesByDate,43
07/08/2020,Wales,CasesByDate,17
07/08/2020,England,CasesByDate,796
08/08/2020,England,CasesByDate,679
