Date,Nation,Metric,Cases
11/05/2020,Scotland,CumCasesByDate,13627
11/05/2020,Northern Ireland,CumCasesByDate,4149
11/05/2020,England,CumCasesByDate,137265
12/05/2020,England,CumCasesByDate,138332
12/05/2020,Northern Ireland,CumCasesByDate,4193
12/05/2020,Wales,CumCasesByDate,11573
12/05/2020,Scotland,CumCasesByDate,13763
13/05/2020,Northern Ireland,CumCasesByDate,4253
13/05/2020,Wales,CumCasesByDate,11706
13/05/2020,Scotland,CumCasesByDate,13929
13/05/2020,England,CumCasesByDate,139478
14/05/2020,England,CumCasesByDate,140667
14/05/2020,Northern Ireland,CumCasesByDate,4291
14/05/2020,Scotland,CumCasesByDate,14117
14/05/2020,Wales,CumCasesByDate,11834
15/05/2020,Wales,CumCasesByDate,11960
15/05/2020,Scotland,CumCasesByDate,14260
15/05/2020,Northern Ireland,CumCasesByDate,4317
15/05/2020,England,CumCasesByDate,141779
16/05/2020,England,CumCasesByDate,142915
16/05/2020,Wales,CumCasesByDate,12142
16/05/2020,Scotland,CumCasesByDate,14447
16/05/2020,Northern Ireland,CumCasesByDate,4357
17/05/2020,Scotland,CumCasesByDate,14537
17/05/2020,Northern Ireland,CumCasesByDate,4385
17/05/2020,Wales,CumCasesByDate,12304
17/05/2020,England,CumCasesByDate,143703
18/05/2020,England,CumCasesByDate,144519
18/05/2020,Wales,CumCasesByDate,12404
18/05/2020,Northern Ireland,CumCasesByDate,4401
18/05/2020,Scotland,CumCasesByDate,14594
19/05/2020,Scotland,CumCasesByDate,14655
19/05/2020,Wales,CumCasesByDate,12570
19/05/2020,Northern Ireland,CumCasesByDate,4421
19/05/2020,England,CumCasesByDate,145376
20/05/2020,England,CumCasesByDate,145808
20/05/2020,Wales,CumCasesByDate,12680
20/05/2020,Scotland,CumCasesByDate,14751
20/05/2020,Northern Ireland,CumCasesByDate,4439
21/05/2020,Scotland,CumCasesByDate,14856
21/05/2020,Northern Ireland,CumCasesByDate,4481
21/05/2020,Wales,CumCasesByDate,12846
21/05/2020,England,CumCasesByDate,146662
22/05/2020,England,CumCasesByDate,147745
22/05/2020,Northern Ireland,CumCasesByDate,4504
22/05/2020,Scotland,CumCasesByDate,14969
22/05/2020,Wales,CumCasesByDate,12984
23/05/2020,Scotland,CumCasesByDate,15041
23/05/2020,Northern Ireland,CumCasesByDate,4545
23/05/2020,Wales,CumCasesByDate,13169
23/05/2020,England,CumCasesByDate,148724
24/05/2020,England,CumCasesByDate,149308
24/05/2020,Wales,CumCasesByDate,13309
24/05/2020,Scotland,CumCasesByDate,15101
24/05/2020,Northern Ireland,CumCasesByDate,4570
25/05/2020,Scotland,CumCasesByDate,15156
25/05/2020,Wales,CumCasesByDate,13415
25/05/2020,Northern Ireland,CumCasesByDate,4609
25/05/2020,England,CumCasesByDate,149802
26/05/2020,England,CumCasesByDate,150294
26/05/2020,Wales,CumCasesByDate,13556
26/05/2020,Northern Ireland,CumCasesByDate,4637
26/05/2020,Scotland,CumCasesByDate,15185
27/05/2020,Scotland,CumCasesByDate,15240
27/05/2020,Northern Ireland,CumCasesByDate,4663
27/05/2020,Wales,CumCasesByDate,13653
27/05/2020,England,CumCasesByDate,150903
28/05/2020,England,CumCasesByDate,151422
28/05/2020,Wales,CumCasesByDate,13725
28/05/2020,Northern Ireland,CumCasesByDate,4679
28/05/2020,Scotland,CumCasesByDate,15288
29/05/2020,Scotland,CumCasesByDate,15327
29/05/2020,Wales,CumCasesByDate,13827
29/05/2020,Northern Ireland,CumCasesByDate,4696
29/05/2020,England,CumCasesByDate,151982
30/05/2020,England,CumCasesByDate,151856
30/05/2020,Wales,CumCasesByDate,13913
30/05/2020,Scotland,CumCasesByDate,15382
30/05/2020,Northern Ireland,CumCasesByDate,4709
31/05/2020,Wales,CumCasesByDate,13995
31/05/2020,Northern Ireland,CumCasesByDate,4716
31/05/2020,Scotland,CumCasesByDate,15400
31/05/2020,England,CumCasesByDate,152176
01/06/2020,England,CumCasesByDate,152470
01/06/2020,Scotland,CumCasesByDate,15418
01/06/2020,Wales,CumCasesByDate,14054
01/06/2020,Northern Ireland,CumCasesByDate,4728
02/06/2020,Scotland,CumCasesByDate,15471
02/06/2020,Northern Ireland,CumCasesByDate,4732
