Date,Nation,Metric,Vaccine
03/05/2021,England,FullyVaccByDate,99785
03/05/2021,Scotland,FullyVaccByDate,21451
03/05/2021,Wales,FullyVaccByDate,1249
04/05/2021,Scotland,FullyVaccByDate,25832
04/05/2021,Wales,FullyVaccByDate,10593
04/05/2021,England,FullyVaccByDate,211639
04/05/2021,Northern Ireland,FullyVaccByDate,9422
05/05/2021,Northern Ireland,FullyVaccByDate,13454
05/05/2021,England,FullyVaccByDate,348553
05/05/2021,Scotland,FullyVaccByDate,26414
05/05/2021,Wales,FullyVaccByDate,15805
06/05/2021,Wales,FullyVaccByDate,16118
06/05/2021,England,FullyVaccByDate,419232
06/05/2021,Scotland,FullyVaccByDate,23912
06/05/2021,Northern Ireland,FullyVaccByDate,13739
07/05/2021,Northern Ireland,FullyVaccByDate,8395
07/05/2021,Scotland,FullyVaccByDate,26590
07/05/2021,England,FullyVaccByDate,414731
07/05/2021,Wales,FullyVaccByDate,16106
08/05/2021,Wales,FullyVaccByDate,10898
08/05/2021,Scotland,FullyVaccByDate,17498
08/05/2021,England,FullyVaccByDate,404510
08/05/2021,Northern Ireland,FullyVaccByDate,5931
09/05/2021,Northern Ireland,FullyVaccByDate,5725
09/05/2021,England,FullyVaccByDate,160313
09/05/2021,Wales,FullyVaccByDate,4133
09/05/2021,Scotland,FullyVaccByDate,17000
10/05/2021,England,FullyVaccByDate,192723
10/05/2021,Scotland,FullyVaccByDate,21317
10/05/2021,Wales,FullyVaccByDate,8261
10/05/2021,Northern Ireland,FullyVaccByDate,9534
11/05/2021,Northern Ireland,FullyVaccByDate,11928
11/05/2021,England,FullyVaccByDate,308915
11/05/2021,Scotland,FullyVaccByDate,20276
11/05/2021,Wales,FullyVaccByDate,9028
12/05/2021,Scotland,FullyVaccByDate,24450
12/05/2021,England,FullyVaccByDate,402524
12/05/2021,Wales,FullyVaccByDate,14287
12/05/2021,Northern Ireland,FullyVaccByDate,11176
13/05/2021,Northern Ireland,FullyVaccByDate,11152
13/05/2021,Scotland,FullyVaccByDate,24426
13/05/2021,Wales,FullyVaccByDate,13813
13/05/2021,England,FullyVaccByDate,378650
14/05/2021,Wales,FullyVaccByDate,14291
14/05/2021,Scotland,FullyVaccByDate,23754
14/05/2021,England,FullyVaccByDate,346425
14/05/2021,Northern Ireland,FullyVaccByDate,8932
15/05/2021,Northern Ireland,FullyVaccByDate,6156
15/05/2021,Wales,FullyVaccByDate,9814
15/05/2021,Scotland,FullyVaccByDate,21512
15/05/2021,England,FullyVaccByDate,353764
16/05/2021,Scotland,FullyVaccByDate,17505
16/05/2021,England,FullyVaccByDate,157687
16/05/2021,Wales,FullyVaccByDate,1757
16/05/2021,Northern Ireland,FullyVaccByDate,6796
17/05/2021,Northern Ireland,FullyVaccByDate,7890
17/05/2021,Scotland,FullyVaccByDate,30933
17/05/2021,Wales,FullyVaccByDate,9784
17/05/2021,England,FullyVaccByDate,210442
18/05/2021,Scotland,FullyVaccByDate,34919
18/05/2021,England,FullyVaccByDate,269283
18/05/2021,Wales,FullyVaccByDate,11857
18/05/2021,Northern Ireland,FullyVaccByDate,7942
19/05/2021,Northern Ireland,FullyVaccByDate,8918
19/05/2021,Scotland,FullyVaccByDate,37684
19/05/2021,Wales,FullyVaccByDate,13396
19/05/2021,England,FullyVaccByDate,309020
20/05/2021,Wales,FullyVaccByDate,17214
20/05/2021,Scotland,FullyVaccByDate,26968
20/05/2021,England,FullyVaccByDate,367142
20/05/2021,Northern Ireland,FullyVaccByDate,8988
21/05/2021,Northern Ireland,FullyVaccByDate,9338
21/05/2021,Wales,FullyVaccByDate,14969
21/05/2021,Scotland,FullyVaccByDate,30916
21/05/2021,England,FullyVaccByDate,371460
22/05/2021,England,FullyVaccByDate,508013
22/05/2021,Wales,FullyVaccByDate,16055
22/05/2021,Scotland,FullyVaccByDate,28974
22/05/2021,Northern Ireland,FullyVaccByDate,3909
23/05/2021,Northern Ireland,FullyVaccByDate,5852
23/05/2021,Wales,FullyVaccByDate,2976
23/05/2021,Scotland,FullyVaccByDate,23249
23/05/2021,England,FullyVaccByDate,220062
24/05/2021,England,FullyVaccByDate,279672
24/05/2021,Scotland,FullyVaccByDate,29035
24/05/2021,Wales,FullyVaccByDate,15548
24/05/2021,Northern Ireland,FullyVaccByDate,8700
25/05/2021,Northern Ireland,FullyVaccByDate,9406
25/05/2021,England,FullyVaccByDate,327467
25/05/2021,Wales,FullyVaccByDate,18519
25/05/2021,Scotland,FullyVaccByDate,32595
26/05/2021,England,FullyVaccByDate,368554
26/05/2021,Wales,FullyVaccByDate,20715
26/05/2021,Scotland,FullyVaccByDate,28476
26/05/2021,Northern Ireland,FullyVaccByDate,9713
27/05/2021,Northern Ireland,FullyVaccByDate,8635
27/05/2021,Wales,FullyVaccByDate,22698
27/05/2021,England,FullyVaccByDate,374042
27/05/2021,Scotland,FullyVaccByDate,28721
28/05/2021,Scotland,FullyVaccByDate,27403
28/05/2021,Wales,FullyVaccByDate,21587
28/05/2021,England,FullyVaccByDate,380855
28/05/2021,Northern Ireland,FullyVaccByDate,6106
29/05/2021,Northern Ireland,FullyVaccByDate,3533
29/05/2021,England,FullyVaccByDate,381816
29/05/2021,Scotland,FullyVaccByDate,24319
29/05/2021,Wales,FullyVaccByDate,9180
30/05/2021,Wales,FullyVaccByDate,2040
30/05/2021,England,FullyVaccByDate,179424
30/05/2021,Scotland,FullyVaccByDate,21525
30/05/2021,Northern Ireland,FullyVaccByDate,3333
31/05/2021,Northern Ireland,FullyVaccByDate,5467
31/05/2021,Wales,FullyVaccByDate,4427
31/05/2021,Scotland,FullyVaccByDate,30978
31/05/2021,England,FullyVaccByDate,154674
01/06/2021,England,FullyVaccByDate,279285
01/06/2021,Wales,FullyVaccByDate,19716
01/06/2021,Scotland,FullyVaccByDate,30946
01/06/2021,Northern Ireland,FullyVaccByDate,8618
