Date,Nation,Metric,Vaccine
09/05/2021,Scotland,CumFullyVaccByDate,1437960
09/05/2021,England,CumFullyVaccByDate,14300051
10/05/2021,England,CumFullyVaccByDate,14478135
10/05/2021,Scotland,CumFullyVaccByDate,1456813
11/05/2021,England,CumFullyVaccByDate,14783242
11/05/2021,Scotland,CumFullyVaccByDate,1479299
12/05/2021,England,CumFullyVaccByDate,15185512
12/05/2021,Scotland,CumFullyVaccByDate,1502866
13/05/2021,Scotland,CumFullyVaccByDate,1525940
13/05/2021,England,CumFullyVaccByDate,15561157
14/05/2021,England,CumFullyVaccByDate,15900448
14/05/2021,Scotland,CumFullyVaccByDate,1548622
15/05/2021,Scotland,CumFullyVaccByDate,1568870
15/05/2021,England,CumFullyVaccByDate,16255068
16/05/2021,England,CumFullyVaccByDate,16409475
16/05/2021,Scotland,CumFullyVaccByDate,1585479
17/05/2021,Scotland,CumFullyVaccByDate,1617070
17/05/2021,England,CumFullyVaccByDate,16609827
18/05/2021,Scotland,CumFullyVaccByDate,1651252
18/05/2021,England,CumFullyVaccByDate,16874854
19/05/2021,Scotland,CumFullyVaccByDate,1684424
19/05/2021,England,CumFullyVaccByDate,17181331
20/05/2021,Scotland,CumFullyVaccByDate,1714048
20/05/2021,England,CumFullyVaccByDate,17548145
21/05/2021,Scotland,CumFullyVaccByDate,1744900
21/05/2021,England,CumFullyVaccByDate,17917676
22/05/2021,Scotland,CumFullyVaccByDate,1773823
22/05/2021,England,CumFullyVaccByDate,18437929
23/05/2021,England,CumFullyVaccByDate,18657634
23/05/2021,Scotland,CumFullyVaccByDate,1795072
24/05/2021,Scotland,CumFullyVaccByDate,1822997
24/05/2021,England,CumFullyVaccByDate,18915352
25/05/2021,England,CumFullyVaccByDate,19236998
25/05/2021,Scotland,CumFullyVaccByDate,1855566
26/05/2021,Scotland,CumFullyVaccByDate,1884280
26/05/2021,England,CumFullyVaccByDate,19602360
27/05/2021,England,CumFullyVaccByDate,19958525
27/05/2021,Scotland,CumFullyVaccByDate,1911925
28/05/2021,England,CumFullyVaccByDate,20329765
28/05/2021,Scotland,CumFullyVaccByDate,1938756
29/05/2021,England,CumFullyVaccByDate,20708282
29/05/2021,Scotland,CumFullyVaccByDate,1962597
30/05/2021,England,CumFullyVaccByDate,20881591
30/05/2021,Scotland,CumFullyVaccByDate,1981879
31/05/2021,Scotland,CumFullyVaccByDate,2012762
31/05/2021,England,CumFullyVaccByDate,21029451
01/06/2021,England,CumFullyVaccByDate,21299510
01/06/2021,Scotland,CumFullyVaccByDate,2044558
02/06/2021,England,CumFullyVaccByDate,21580794
02/06/2021,Scotland,CumFullyVaccByDate,2076222
03/06/2021,England,CumFullyVaccByDate,21890057
03/06/2021,Scotland,CumFullyVaccByDate,2107876
04/06/2021,Scotland,CumFullyVaccByDate,2139518
04/06/2021,England,CumFullyVaccByDate,22211354
05/06/2021,England,CumFullyVaccByDate,22636731
05/06/2021,Scotland,CumFullyVaccByDate,2166978
06/06/2021,Scotland,CumFullyVaccByDate,2188124
06/06/2021,England,CumFullyVaccByDate,22854256
07/06/2021,Scotland,CumFullyVaccByDate,2219379
07/06/2021,England,CumFullyVaccByDate,23089004
08/06/2021,England,CumFullyVaccByDate,23336607
08/06/2021,Scotland,CumFullyVaccByDate,2251221
09/06/2021,Scotland,CumFullyVaccByDate,2282193
09/06/2021,England,CumFullyVaccByDate,23589979
10/06/2021,England,CumFullyVaccByDate,23840658
10/06/2021,Scotland,CumFullyVaccByDate,2310725
11/06/2021,Scotland,CumFullyVaccByDate,2337655
11/06/2021,England,CumFullyVaccByDate,24089692
12/06/2021,England,CumFullyVaccByDate,24369646
12/06/2021,Scotland,CumFullyVaccByDate,2361080
13/06/2021,England,CumFullyVaccByDate,24521928
13/06/2021,Scotland,CumFullyVaccByDate,2380684
14/06/2021,England,CumFullyVaccByDate,24686235
14/06/2021,Scotland,CumFullyVaccByDate,2405097
15/06/2021,Scotland,CumFullyVaccByDate,2427995
15/06/2021,England,CumFullyVaccByDate,24858836
16/06/2021,Scotland,CumFullyVaccByDate,2450462
16/06/2021,England,CumFullyVaccByDate,25037768
17/06/2021,England,CumFullyVaccByDate,25211107
17/06/2021,Scotland,CumFullyVaccByDate,2470138
18/06/2021,England,CumFullyVaccByDate,25376002
18/06/2021,Scotland,CumFullyVaccByDate,2489183
19/06/2021,England,CumFullyVaccByDate,25576647
19/06/2021,Scotland,CumFullyVaccByDate,2506252
20/06/2021,Scotland,CumFullyVaccByDate,2520586
20/06/2021,England,CumFullyVaccByDate,25656653
21/06/2021,Scotland,CumFullyVaccByDate,2536200
21/06/2021,England,CumFullyVaccByDate,25751285
22/06/2021,England,CumFullyVaccByDate,25873001
22/06/2021,Scotland,CumFullyVaccByDate,2550684
23/06/2021,Scotland,CumFullyVaccByDate,2565084
23/06/2021,England,CumFullyVaccByDate,25993462
24/06/2021,England,CumFullyVaccByDate,26128314
24/06/2021,Scotland,CumFullyVaccByDate,2580536
25/06/2021,England,CumFullyVaccByDate,26260744
25/06/2021,Scotland,CumFullyVaccByDate,2596070
26/06/2021,England,CumFullyVaccByDate,26439808
26/06/2021,Scotland,CumFullyVaccByDate,2608922
27/06/2021,England,CumFullyVaccByDate,26538966
27/06/2021,Scotland,CumFullyVaccByDate,2620028
28/06/2021,England,CumFullyVaccByDate,26641948
28/06/2021,Scotland,CumFullyVaccByDate,2629517
29/06/2021,England,CumFullyVaccByDate,26755005
29/06/2021,Scotland,CumFullyVaccByDate,2640100
